405,4.20E-07,4.54E-07,4.13E-07,5.44E-07,8.49E-07,1.05E-06,1.21E-06,1.20E-06,1.29E-06,3.03E-07,5.48E-07,5.92E-07,7.35E-07,8.26E-07,1.03E-06,1.07E-06,1.31E-06,1.35E-06,4.35E-07,1.59E-06,3.44E-06,6.72E-06,1.16E-05,1.78E-05,2.67E-05,3.77E-05,5.08E-05
406,4.15E-07,5.36E-07,4.95E-07,6.24E-07,8.96E-07,1.14E-06,1.24E-06,1.30E-06,1.35E-06,3.09E-07,6.46E-07,6.45E-07,8.03E-07,8.93E-07,1.10E-06,1.21E-06,1.43E-06,1.50E-06,5.16E-07,1.76E-06,3.82E-06,7.42E-06,1.26E-05,1.94E-05,2.92E-05,4.09E-05,5.50E-05
407,4.51E-07,6.48E-07,6.13E-07,7.08E-07,9.47E-07,1.21E-06,1.29E-06,1.46E-06,1.45E-06,3.69E-07,7.41E-07,7.28E-07,8.67E-07,9.66E-07,1.14E-06,1.35E-06,1.52E-06,1.67E-06,6.35E-07,1.94E-06,4.23E-06,8.16E-06,1.38E-05,2.13E-05,3.18E-05,4.45E-05,5.98E-05
408,5.21E-07,7.71E-07,7.52E-07,7.93E-07,1.01E-06,1.28E-06,1.34E-06,1.64E-06,1.59E-06,4.72E-07,8.26E-07,8.33E-07,9.31E-07,1.04E-06,1.17E-06,1.47E-06,1.60E-06,1.87E-06,7.77E-07,2.15E-06,4.68E-06,8.96E-06,1.50E-05,2.33E-05,3.46E-05,4.84E-05,6.49E-05
409,6.14E-07,8.84E-07,8.94E-07,8.80E-07,1.09E-06,1.35E-06,1.42E-06,1.83E-06,1.77E-06,6.03E-07,8.95E-07,9.47E-07,9.98E-07,1.12E-06,1.20E-06,1.60E-06,1.69E-06,2.08E-06,9.28E-07,2.37E-06,5.16E-06,9.82E-06,1.64E-05,2.55E-05,3.75E-05,5.27E-05,7.05E-05
410,7.21E-07,9.64E-07,1.02E-06,9.69E-07,1.19E-06,1.43E-06,1.52E-06,2.01E-06,1.98E-06,7.46E-07,9.44E-07,1.06E-06,1.07E-06,1.21E-06,1.28E-06,1.73E-06,1.80E-06,2.30E-06,1.07E-06,2.60E-06,5.67E-06,1.07E-05,1.79E-05,2.79E-05,4.07E-05,5.72E-05,7.64E-05
411,8.33E-07,9.97E-07,1.12E-06,1.06E-06,1.33E-06,1.54E-06,1.65E-06,2.18E-06,2.23E-06,8.90E-07,9.69E-07,1.17E-06,1.16E-06,1.29E-06,1.42E-06,1.89E-06,1.95E-06,2.53E-06,1.20E-06,2.84E-06,6.25E-06,1.18E-05,1.96E-05,3.05E-05,4.44E-05,6.23E-05,8.30E-05
412,9.44E-07,9.82E-07,1.19E-06,1.17E-06,1.49E-06,1.67E-06,1.80E-06,2.32E-06,2.50E-06,1.03E-06,9.74E-07,1.26E-06,1.26E-06,1.38E-06,1.62E-06,2.07E-06,2.16E-06,2.77E-06,1.30E-06,3.09E-06,6.86E-06,1.29E-05,2.14E-05,3.33E-05,4.83E-05,6.78E-05,9.01E-05
413,1.05E-06,9.52E-07,1.25E-06,1.27E-06,1.66E-06,1.83E-06,1.98E-06,2.45E-06,2.79E-06,1.15E-06,9.82E-07,1.35E-06,1.38E-06,1.48E-06,1.85E-06,2.26E-06,2.39E-06,3.00E-06,1.38E-06,3.34E-06,7.50E-06,1.40E-05,2.34E-05,3.63E-05,5.24E-05,7.37E-05,9.75E-05
414,1.16E-06,9.43E-07,1.33E-06,1.40E-06,1.84E-06,2.00E-06,2.17E-06,2.59E-06,3.08E-06,1.27E-06,1.01E-06,1.43E-06,1.51E-06,1.60E-06,2.10E-06,2.46E-06,2.65E-06,3.24E-06,1.44E-06,3.62E-06,8.17E-06,1.52E-05,2.55E-05,3.94E-05,5.69E-05,7.98E-05,0.000105351
